PrimaryCompany,Warehouse,ShippedPartCode,SupplierCode,ShippingModeCode,PurchaseOrderTypeCode,PartTypeCode,PurchaseOrderNumber,PurchaseOrderLineNumber,BillingUOMCode,SupplierInvoiceNo,SupplierInvoiceDate,ShippedQuantityInBillingUOM,ExpiryDate,ManufacturingDate,SerialNo,BatchNo,EstimatedTimeOfArrival,BillOfLadingOrAirwayBillNo
AURA,UB1,21127,818,AIR,PO,GEN,NULL,1,PCS,UB1O/2454,30/04/2025,108.0,,,,,25/05/2025,
AURA,UB1,21128,818,AIR,PO,GEN,NULL,2,PCS,UB1O/2454,30/04/2025,102.0,,,,,25/05/2025,
AURA,UB1,21129,818,AIR,PO,GEN,NULL,3,PCS,UB1O/2454,30/04/2025,108.0,,,,,25/05/2025,
AURA,UB1,21130,818,AIR,PO,GEN,NULL,4,PCS,UB1O/2454,30/04/2025,100.0,,,,,25/05/2025,
AURA,UB1,21131,818,AIR,PO,GEN,NULL,5,PCS,UB1O/2454,30/04/2025,112.0,,,,,25/05/2025,
AURA,UB1,21132,818,AIR,PO,GEN,NULL,6,PCS,UB1O/2454,30/04/2025,114.0,,,,,25/05/2025,
AURA,UB1,21133,818,AIR,PO,GEN,NULL,7,PCS,UB1O/2454,30/04/2025,114.0,,,,,25/05/2025,
AURA,UB1,21134,818,AIR,PO,GEN,NULL,8,PCS,UB1O/2454,30/04/2025,120.0,,,,,25/05/2025,
